,Date,FIPS,Recip_County,Recip_State,Series_Complete_Pop_Pct,Metro_status
104,10/22/2021,13023,Bleckley County,GA,11.5,Non-metro
105,10/22/2021,13211,Morgan County,GA,23.1,Metro
106,10/22/2021,21067,Fayette County,KY,64.7,Metro
107,10/22/2021,18105,Monroe County,IN,54.4,Metro
108,10/22/2021,38029,Emmons County,ND,30.5,Non-metro
109,10/22/2021,48371,Pecos County,TX,51.4,Non-metro
110,10/22/2021,39165,Warren County,OH,56.7,Metro
111,10/22/2021,24043,Washington County,MD,51.9,Metro
112,10/22/2021,21139,Livingston County,KY,44.7,Non-metro
113,10/22/2021,28061,Jasper County,MS,43.9,Non-metro
114,10/22/2021,17173,Shelby County,IL,35.0,Non-metro
115,10/22/2021,51001,Accomack County,VA,63.5,Non-metro
116,10/22/2021,51199,York County,VA,52.0,Metro
117,10/22/2021,42083,McKean County,PA,35.4,Non-metro
118,10/22/2021,72083,Las Marias Municipio,PR,77.9,Non-metro
119,10/22/2021,48053,Burnet County,TX,46.0,Non-metro
120,10/22/2021,18155,Switzerland County,IN,28.3,Non-metro
121,10/22/2021,48293,Limestone County,TX,32.6,Non-metro
122,10/22/2021,47007,Bledsoe County,TN,31.0,Non-metro
123,10/22/2021,49049,Utah County,UT,45.7,Metro
124,10/22/2021,18103,Miami County,IN,37.7,Non-metro
125,10/22/2021,11001,District of Columbia,DC,58.9,Metro
126,10/22/2021,16053,Jerome County,ID,34.9,Non-metro
127,10/22/2021,28005,Amite County,MS,35.1,Non-metro
128,10/22/2021,17135,Montgomery County,IL,40.6,Non-metro
129,10/22/2021,46137,Ziebach County,SD,24.7,Non-metro
130,10/22/2021,21077,Gallatin County,KY,38.9,Metro
131,10/22/2021,37057,Davidson County,NC,41.8,Metro
132,10/22/2021,40039,Custer County,OK,43.1,Non-metro
133,10/22/2021,6045,Mendocino County,CA,59.5,Non-metro
134,10/22/2021,28151,Washington County,MS,43.7,Non-metro
135,10/22/2021,28135,Tallahatchie County,MS,36.9,Non-metro
136,10/22/2021,1097,Mobile County,AL,43.0,Metro
137,10/22/2021,26085,Lake County,MI,53.6,Non-metro
138,10/22/2021,31039,Cuming County,NE,47.0,Non-metro
139,10/22/2021,37027,Caldwell County,NC,42.1,Metro
140,10/22/2021,41043,Linn County,OR,50.7,Metro
141,10/22/2021,72131,San Sebastian Municipio,PR,78.6,Metro
142,10/22/2021,39109,Miami County,OH,42.4,Metro
143,10/22/2021,48359,Oldham County,TX,30.8,Metro
144,10/22/2021,22073,Ouachita Parish,LA,40.1,Metro
145,10/22/2021,28145,Union County,MS,35.6,Non-metro
146,10/22/2021,45063,Lexington County,SC,48.4,Metro
147,10/22/2021,21039,Carlisle County,KY,37.0,Non-metro
148,10/22/2021,29091,Howell County,MO,29.2,Non-metro
150,10/22/2021,16059,Lemhi County,ID,40.6,Non-metro
151,10/22/2021,54023,Grant County,WV,13.5,Non-metro
152,10/22/2021,27055,Houston County,MN,38.8,Metro
153,10/22/2021,29007,Audrain County,MO,33.3,Non-metro
154,10/22/2021,53051,Pend Oreille County,WA,35.7,Metro
155,10/22/2021,18057,Hamilton County,IN,64.4,Metro
156,10/22/2021,51053,Dinwiddie County,VA,43.9,Metro
157,10/22/2021,72035,Cayey Municipio,PR,73.4,Metro
158,10/22/2021,13047,Catoosa County,GA,17.8,Metro
159,10/22/2021,18159,Tipton County,IN,41.6,Non-metro
160,10/22/2021,13149,Heard County,GA,13.5,Metro
161,10/22/2021,5133,Sevier County,AR,39.9,Non-metro
162,10/22/2021,47165,Sumner County,TN,42.1,Metro
163,10/22/2021,42129,Westmoreland County,PA,53.6,Metro
164,10/22/2021,48493,Wilson County,TX,46.0,Metro
165,10/22/2021,46039,Deuel County,SD,40.6,Non-metro
166,10/22/2021,23013,Knox County,ME,74.7,Non-metro
167,10/22/2021,8079,Mineral County,CO,71.4,Non-metro
168,10/22/2021,1037,Coosa County,AL,35.7,Non-metro
169,10/22/2021,37005,Alleghany County,NC,52.2,Non-metro
170,10/22/2021,19059,Dickinson County,IA,53.2,Non-metro
171,10/22/2021,37159,Rowan County,NC,38.7,Metro
172,10/22/2021,72009,Aibonito Municipio,PR,80.6,Metro
173,10/22/2021,48205,Hartley County,TX,42.4,Non-metro
174,10/22/2021,45005,Allendale County,SC,51.5,Non-metro
175,10/22/2021,48399,Runnels County,TX,39.9,Non-metro
176,10/22/2021,48245,Jefferson County,TX,44.5,Metro
177,10/22/2021,34035,Somerset County,NJ,66.6,Metro
178,10/22/2021,49051,Wasatch County,UT,50.9,Non-metro
179,10/22/2021,26149,St. Joseph County,MI,40.8,Non-metro
180,10/22/2021,13185,Lowndes County,GA,26.6,Metro
181,10/22/2021,48103,Crane County,TX,31.0,Non-metro
182,10/22/2021,18125,Pike County,IN,53.0,Non-metro
183,10/22/2021,22023,Cameron Parish,LA,16.5,Metro
184,10/22/2021,19047,Crawford County,IA,48.7,Non-metro
185,10/22/2021,18027,Daviess County,IN,29.9,Non-metro
186,10/22/2021,6095,Solano County,CA,57.2,Metro
187,10/22/2021,29069,Dunklin County,MO,32.8,Non-metro
188,10/22/2021,18061,Harrison County,IN,46.5,Metro
189,10/22/2021,45013,Beaufort County,SC,59.0,Metro
190,10/22/2021,48167,Galveston County,TX,53.9,Metro
191,10/22/2021,20177,Shawnee County,KS,54.3,Metro
192,10/22/2021,48089,Colorado County,TX,46.4,Non-metro
193,10/22/2021,38095,Towner County,ND,42.4,Non-metro
194,10/22/2021,51045,Craig County,VA,31.8,Metro
195,10/22/2021,42127,Wayne County,PA,56.9,Non-metro
196,10/22/2021,47133,Overton County,TN,32.0,Non-metro
197,10/22/2021,13285,Troup County,GA,21.1,Non-metro
198,10/22/2021,21019,Boyd County,KY,40.0,Metro
199,10/22/2021,5051,Garland County,AR,40.7,Metro
200,10/22/2021,27009,Benton County,MN,35.1,Metro
201,10/22/2021,51025,Brunswick County,VA,46.3,Non-metro
202,10/22/2021,19043,Clayton County,IA,44.3,Non-metro
203,10/22/2021,20193,Thomas County,KS,37.6,Non-metro
204,10/22/2021,28119,Quitman County,MS,46.3,Non-metro
205,10/22/2021,29059,Dallas County,MO,32.2,Metro
206,10/22/2021,6025,Imperial County,CA,69.1,Metro
207,10/22/2021,38075,Renville County,ND,33.5,Non-metro
209,10/22/2021,19027,Carroll County,IA,56.5,Non-metro
210,10/22/2021,27147,Steele County,MN,53.6,Non-metro
211,10/22/2021,26137,Otsego County,MI,51.0,Non-metro
212,10/22/2021,55133,Waukesha County,WI,62.6,Metro
213,10/22/2021,18019,Clark County,IN,54.9,Metro
214,10/22/2021,16025,Camas County,ID,37.3,Non-metro
215,10/22/2021,21211,Shelby County,KY,46.8,Metro
216,10/22/2021,48313,Madison County,TX,35.1,Non-metro
217,10/22/2021,27155,Traverse County,MN,54.0,Non-metro
218,10/22/2021,55073,Marathon County,WI,53.6,Metro
219,10/22/2021,48311,McMullen County,TX,41.7,Non-metro
220,10/22/2021,48041,Brazos County,TX,46.0,Metro
221,10/22/2021,55089,Ozaukee County,WI,64.3,Metro
222,10/22/2021,16063,Lincoln County,ID,33.3,Non-metro
223,10/22/2021,19149,Plymouth County,IA,47.3,Metro
224,10/22/2021,13257,Stephens County,GA,13.7,Non-metro
225,10/22/2021,13061,Clay County,GA,34.8,Non-metro
226,10/22/2021,22045,Iberia Parish,LA,41.1,Metro
227,10/22/2021,28137,Tate County,MS,39.1,Metro
228,10/22/2021,27169,Winona County,MN,53.2,Non-metro
229,10/22/2021,40081,Lincoln County,OK,35.1,Metro
230,10/22/2021,51800,Suffolk city,VA,45.3,Metro
231,10/22/2021,48275,Knox County,TX,35.2,Non-metro
232,10/22/2021,38033,Golden Valley County,ND,26.0,Non-metro
233,10/22/2021,21089,Greenup County,KY,44.7,Metro
234,10/22/2021,27031,Cook County,MN,71.5,Non-metro
235,10/22/2021,30107,Wheatland County,MT,31.5,Non-metro
236,10/22/2021,53069,Wahkiakum County,WA,45.7,Non-metro
237,10/22/2021,53011,Clark County,WA,57.2,Metro
238,10/22/2021,45001,Abbeville County,SC,36.0,Non-metro
