Data As Of,Start Date,End Date,MMWR Year,MMWR Week,Week-Ending Date,Jurisdiction of Occurrence,Urbanization Classification,COVID-19 Deaths,Total Deaths,Footnote
10/20/2021,03/29/2020,04/04/2020,2020,14,04/04/2020,United States,All Counties in the U.S.,10126,72262,
10/20/2021,03/29/2020,04/04/2020,2020,14,04/04/2020,United States,Metropolitan,9886,63274,
10/20/2021,03/29/2020,04/04/2020,2020,14,04/04/2020,United States,Nonmetropolitan,240,8988,
10/20/2021,04/05/2020,04/11/2020,2020,15,04/11/2020,United States,All Counties in the U.S.,16317,79062,
10/20/2021,04/05/2020,04/11/2020,2020,15,04/11/2020,United States,Metropolitan,15963,69811,
10/20/2021,04/05/2020,04/11/2020,2020,15,04/11/2020,United States,Nonmetropolitan,354,9251,
10/20/2021,04/12/2020,04/18/2020,2020,16,04/18/2020,United States,All Counties in the U.S.,17197,76781,
10/20/2021,04/12/2020,04/18/2020,2020,16,04/18/2020,United States,Metropolitan,16748,67552,
10/20/2021,04/12/2020,04/18/2020,2020,16,04/18/2020,United States,Nonmetropolitan,449,9229,
10/20/2021,04/19/2020,04/25/2020,2020,17,04/25/2020,United States,All Counties in the U.S.,15551,73882,
10/20/2021,04/19/2020,04/25/2020,2020,17,04/25/2020,United States,Metropolitan,15041,64737,
10/20/2021,04/19/2020,04/25/2020,2020,17,04/25/2020,United States,Nonmetropolitan,510,9145,
10/20/2021,04/26/2020,05/02/2020,2020,18,05/02/2020,United States,All Counties in the U.S.,13212,69282,
10/20/2021,04/26/2020,05/02/2020,2020,18,05/02/2020,United States,Metropolitan,12693,60268,
10/20/2021,04/26/2020,05/02/2020,2020,18,05/02/2020,United States,Nonmetropolitan,519,9014,
10/20/2021,05/03/2020,05/09/2020,2020,19,05/09/2020,United States,All Counties in the U.S.,11233,66796,
10/20/2021,05/03/2020,05/09/2020,2020,19,05/09/2020,United States,Metropolitan,10738,57682,
10/20/2021,05/03/2020,05/09/2020,2020,19,05/09/2020,United States,Nonmetropolitan,495,9114,
10/20/2021,05/10/2020,05/16/2020,2020,20,05/16/2020,United States,All Counties in the U.S.,9231,64448,
10/20/2021,05/10/2020,05/16/2020,2020,20,05/16/2020,United States,Metropolitan,8744,55442,
10/20/2021,05/10/2020,05/16/2020,2020,20,05/16/2020,United States,Nonmetropolitan,487,9006,
10/20/2021,05/17/2020,05/23/2020,2020,21,05/23/2020,United States,All Counties in the U.S.,7246,61601,
10/20/2021,05/17/2020,05/23/2020,2020,21,05/23/2020,United States,Metropolitan,6851,52895,
10/20/2021,05/17/2020,05/23/2020,2020,21,05/23/2020,United States,Nonmetropolitan,395,8706,
10/20/2021,05/24/2020,05/30/2020,2020,22,05/30/2020,United States,All Counties in the U.S.,6170,59636,
10/20/2021,05/24/2020,05/30/2020,2020,22,05/30/2020,United States,Metropolitan,5771,51062,
10/20/2021,05/24/2020,05/30/2020,2020,22,05/30/2020,United States,Nonmetropolitan,399,8574,
10/20/2021,05/31/2020,06/06/2020,2020,23,06/06/2020,United States,All Counties in the U.S.,5056,58875,
10/20/2021,05/31/2020,06/06/2020,2020,23,06/06/2020,United States,Metropolitan,4698,50206,
10/20/2021,05/31/2020,06/06/2020,2020,23,06/06/2020,United States,Nonmetropolitan,358,8669,
10/20/2021,06/07/2020,06/13/2020,2020,24,06/13/2020,United States,All Counties in the U.S.,4229,57999,
10/20/2021,06/07/2020,06/13/2020,2020,24,06/13/2020,United States,Metropolitan,3955,49279,
10/20/2021,06/07/2020,06/13/2020,2020,24,06/13/2020,United States,Nonmetropolitan,274,8720,
10/20/2021,06/14/2020,06/20/2020,2020,25,06/20/2020,United States,All Counties in the U.S.,3849,57968,
10/20/2021,06/14/2020,06/20/2020,2020,25,06/20/2020,United States,Metropolitan,3594,49288,
10/20/2021,06/14/2020,06/20/2020,2020,25,06/20/2020,United States,Nonmetropolitan,255,8680,
10/20/2021,06/21/2020,06/27/2020,2020,26,06/27/2020,United States,All Counties in the U.S.,3841,58491,
10/20/2021,06/21/2020,06/27/2020,2020,26,06/27/2020,United States,Metropolitan,3574,49803,
10/20/2021,06/21/2020,06/27/2020,2020,26,06/27/2020,United States,Nonmetropolitan,267,8688,
10/20/2021,06/28/2020,07/04/2020,2020,27,07/04/2020,United States,All Counties in the U.S.,4547,59791,
10/20/2021,06/28/2020,07/04/2020,2020,27,07/04/2020,United States,Metropolitan,4203,50779,
10/20/2021,06/28/2020,07/04/2020,2020,27,07/04/2020,United States,Nonmetropolitan,344,9012,
10/20/2021,07/05/2020,07/11/2020,2020,28,07/11/2020,United States,All Counties in the U.S.,5785,61915,
10/20/2021,07/05/2020,07/11/2020,2020,28,07/11/2020,United States,Metropolitan,5387,52825,
10/20/2021,07/05/2020,07/11/2020,2020,28,07/11/2020,United States,Nonmetropolitan,398,9090,
10/20/2021,07/12/2020,07/18/2020,2020,29,07/18/2020,United States,All Counties in the U.S.,7195,63140,
10/20/2021,07/12/2020,07/18/2020,2020,29,07/18/2020,United States,Metropolitan,6652,54012,
10/20/2021,07/12/2020,07/18/2020,2020,29,07/18/2020,United States,Nonmetropolitan,543,9128,
10/20/2021,07/19/2020,07/25/2020,2020,30,07/25/2020,United States,All Counties in the U.S.,8244,64221,
10/20/2021,07/19/2020,07/25/2020,2020,30,07/25/2020,United States,Metropolitan,7523,54882,
10/20/2021,07/19/2020,07/25/2020,2020,30,07/25/2020,United States,Nonmetropolitan,721,9339,
10/20/2021,07/26/2020,08/01/2020,2020,31,08/01/2020,United States,All Counties in the U.S.,8302,64208,
10/20/2021,07/26/2020,08/01/2020,2020,31,08/01/2020,United States,Metropolitan,7520,54727,
10/20/2021,07/26/2020,08/01/2020,2020,31,08/01/2020,United States,Nonmetropolitan,782,9481,
10/20/2021,08/02/2020,08/08/2020,2020,32,08/08/2020,United States,All Counties in the U.S.,7864,63680,
10/20/2021,08/02/2020,08/08/2020,2020,32,08/08/2020,United States,Metropolitan,6991,53909,
10/20/2021,08/02/2020,08/08/2020,2020,32,08/08/2020,United States,Nonmetropolitan,873,9771,
10/20/2021,08/09/2020,08/15/2020,2020,33,08/15/2020,United States,All Counties in the U.S.,7259,63619,
10/20/2021,08/09/2020,08/15/2020,2020,33,08/15/2020,United States,Metropolitan,6410,53999,
10/20/2021,08/09/2020,08/15/2020,2020,33,08/15/2020,United States,Nonmetropolitan,849,9620,
10/20/2021,08/16/2020,08/22/2020,2020,34,08/22/2020,United States,All Counties in the U.S.,6381,62531,
10/20/2021,08/16/2020,08/22/2020,2020,34,08/22/2020,United States,Metropolitan,5549,52873,
10/20/2021,08/16/2020,08/22/2020,2020,34,08/22/2020,United States,Nonmetropolitan,832,9658,
10/20/2021,08/23/2020,08/29/2020,2020,35,08/29/2020,United States,All Counties in the U.S.,5746,61069,
10/20/2021,08/23/2020,08/29/2020,2020,35,08/29/2020,United States,Metropolitan,4936,51630,
10/20/2021,08/23/2020,08/29/2020,2020,35,08/29/2020,United States,Nonmetropolitan,810,9439,
10/20/2021,08/30/2020,09/05/2020,2020,36,09/05/2020,United States,All Counties in the U.S.,5018,60220,
10/20/2021,08/30/2020,09/05/2020,2020,36,09/05/2020,United States,Metropolitan,4325,51023,
10/20/2021,08/30/2020,09/05/2020,2020,36,09/05/2020,United States,Nonmetropolitan,693,9197,
10/20/2021,09/06/2020,09/12/2020,2020,37,09/12/2020,United States,All Counties in the U.S.,4625,59626,
10/20/2021,09/06/2020,09/12/2020,2020,37,09/12/2020,United States,Metropolitan,4003,50423,
