,State,County Name,Urban Rural Code,FIPS,Total deaths,COVID-19 Deaths,Urban Rural Description,Pct_Deaths_by_Covid,Covid_Death_Pct_Above_Median
1144,MI,Livingston County,2,26093,2408,102,Large fringe metro,4.235880398671096,0
1147,MI,Macomb County,2,26099,15168,1646,Large fringe metro,10.851793248945148,0
1150,MI,Marquette County,5,26103,1547,122,Micropolitan,7.88623141564318,0
1153,MI,Midland County,4,26111,1918,151,Small metro,7.872784150156413,0
1156,MI,Monroe County,4,26115,2321,148,Small metro,6.376561826798794,0
1159,MI,Muskegon County,4,26121,3734,408,Small metro,10.926620246384575,0
1162,MI,Oakland County,2,26125,25425,3272,Large fringe metro,12.869223205506392,1
1165,MI,Ottawa County,2,26139,3685,323,Large fringe metro,8.765264586160109,0
1168,MI,Saginaw County,4,26145,5365,810,Small metro,15.097856477166822,1
1171,MI,St. Clair County,2,26147,3458,423,Large fringe metro,12.232504337767496,1
1174,MI,Washtenaw County,3,26161,7346,693,Medium metro,9.433705417914512,0
1177,MI,Wayne County,1,26163,37621,4606,Large central metro,12.243162063740996,1
1180,MN,Anoka County,2,27003,4322,552,Large fringe metro,12.771864877371586,1
1183,MN,Dakota County,2,27037,4172,315,Large fringe metro,7.550335570469799,0
1186,MN,Hennepin County,1,27053,20994,2393,Large central metro,11.398494808040391,0
1189,MN,Olmsted County,4,27109,3923,277,Small metro,7.060922763191435,0
1192,MN,Ramsey County,1,27123,10492,1347,Large central metro,12.83835303088067,1
1195,MN,St. Louis County,3,27137,5339,475,Medium metro,8.896797153024911,0
1198,MN,Stearns County,4,27145,3312,421,Small metro,12.711352657004833,1
1201,MN,Washington County,2,27163,2875,240,Large fringe metro,8.347826086956523,0
1204,MN,Wright County,2,27171,1312,103,Large fringe metro,7.850609756097561,0
1207,MO,Boone County,4,29019,4408,535,Small metro,12.137023593466424,1
1210,MO,Buchanan County,4,29021,2301,302,Small metro,13.124728378965667,1
1213,MO,Butler County,5,29023,1387,160,Micropolitan,11.535688536409516,0
1216,MO,Camden County,6,29029,1282,190,Noncore,14.82059282371295,1
1219,MO,Cape Girardeau County,4,29031,2815,344,Small metro,12.2202486678508,1
1222,MO,Clay County,2,29047,4774,662,Large fringe metro,13.866778382907416,1
1225,MO,Cole County,4,29051,1945,377,Small metro,19.383033419023135,1
1228,MO,Franklin County,2,29071,1862,209,Large fringe metro,11.224489795918368,0
1231,MO,Greene County,3,29077,9256,1513,Medium metro,16.346153846153847,1
1234,MO,Howell County,5,29091,1178,153,Micropolitan,12.98811544991511,1
1237,MO,Jackson County,1,29095,15842,1635,Large central metro,10.32066658250221,0
1240,MO,Jasper County,4,29097,1643,105,Small metro,6.3907486305538646,0
1243,MO,Jefferson County,2,29099,3118,269,Large fringe metro,8.627325208466965,0
1246,MO,Marion County,5,29127,777,120,Micropolitan,15.444015444015443,1
1249,MO,Newton County,4,29145,3246,623,Small metro,19.192852741836106,1
1252,MO,Pettis County,5,29159,895,115,Micropolitan,12.849162011173185,1
1255,MO,Phelps County,5,29161,1168,187,Micropolitan,16.01027397260274,1
1258,MO,Platte County,2,29165,1232,117,Large fringe metro,9.496753246753247,0
1261,MO,Polk County,3,29167,753,115,Medium metro,15.272244355909695,1
1264,MO,St. Charles County,2,29183,5999,688,Large fringe metro,11.468578096349392,0
1267,MO,St. Francois County,5,29187,1466,108,Micropolitan,7.3669849931787175,0
1270,MO,St. Louis County,2,29189,25184,3067,Large fringe metro,12.178367217280814,1
1273,MO,Scott County,5,29201,930,116,Micropolitan,12.473118279569892,1
1276,MO,Taney County,5,29213,1234,102,Micropolitan,8.26580226904376,0
1279,MO,St. Louis city,1,29510,9339,850,Large central metro,9.101616875468466,0
1282,MS,Adams County,5,28001,772,133,Micropolitan,17.2279792746114,1
1285,MS,Alcorn County,5,28003,1190,184,Micropolitan,15.46218487394958,1
1288,MS,DeSoto County,2,28033,3458,634,Large fringe metro,18.334297281665705,1
1291,MS,Forrest County,4,28035,3162,624,Small metro,19.734345351043643,1
1294,MS,Harrison County,3,28047,5078,628,Medium metro,12.367073651043718,1
1297,MS,Hinds County,3,28049,9324,1580,Medium metro,16.945516945516946,1
1300,MS,Jackson County,3,28059,3103,425,Medium metro,13.69642281662907,1
1303,MS,Jones County,5,28067,1537,226,Micropolitan,14.703968770331816,1
1306,MS,Lafayette County,5,28071,1592,362,Micropolitan,22.738693467336685,1
1309,MS,Lamar County,4,28073,1157,208,Small metro,17.97752808988764,1
1312,MS,Lauderdale County,5,28075,2877,647,Micropolitan,22.488703510601322,1
1315,MS,Lee County,5,28081,4179,713,Micropolitan,17.06149796602058,1
1318,MS,Leflore County,5,28083,976,202,Micropolitan,20.69672131147541,1
1321,MS,Lincoln County,5,28085,840,137,Micropolitan,16.30952380952381,1
1324,MS,Lowndes County,5,28087,1620,331,Micropolitan,20.432098765432098,1
1327,MS,Madison County,3,28089,1918,177,Medium metro,9.228362877997915,0
1330,MS,Monroe County,6,28095,753,127,Noncore,16.865869853917662,1
1333,MS,Oktibbeha County,5,28105,666,124,Micropolitan,18.61861861861862,1
1336,MS,Pearl River County,5,28109,1135,105,Micropolitan,9.251101321585903,0
1339,MS,Pike County,5,28113,1074,156,Micropolitan,14.52513966480447,1
1342,MS,Rankin County,3,28121,2091,233,Medium metro,11.142993782879005,0
1345,MS,Warren County,5,28149,1224,227,Micropolitan,18.545751633986928,1
1348,MS,Washington County,5,28151,1391,211,Micropolitan,15.168943206326386,1
1351,MT,Cascade County,4,30013,2253,279,Small metro,12.383488681757656,1
1354,MT,Flathead County,5,30029,2275,216,Micropolitan,9.494505494505495,0
1357,MT,Lewis and Clark County,5,30049,1280,119,Micropolitan,9.296875,0
1360,MT,Missoula County,4,30063,2128,206,Small metro,9.680451127819548,0
1363,MT,Yellowstone County,4,30111,4316,677,Small metro,15.685820203892492,1
1366,NC,Alamance County,4,37001,2944,203,Small metro,6.895380434782608,0
1369,NC,Beaufort County,5,37013,876,110,Micropolitan,12.557077625570775,1
1372,NC,Brunswick County,3,37019,2226,133,Medium metro,5.9748427672955975,0
1375,NC,Buncombe County,3,37021,6679,696,Medium metro,10.420721664919897,0
1378,NC,Burke County,3,37023,1749,242,Medium metro,13.836477987421384,1
1381,NC,Cabarrus County,2,37025,3596,495,Large fringe metro,13.765294771968856,1
1384,NC,Caldwell County,3,37027,1566,182,Medium metro,11.621966794380588,0
1387,NC,Catawba County,3,37035,3621,536,Medium metro,14.802540734603701,1
1390,NC,Cleveland County,5,37045,2070,333,Micropolitan,16.08695652173913,1
1393,NC,Columbus County,6,37047,1154,106,Noncore,9.185441941074524,0
1396,NC,Craven County,4,37049,2123,221,Small metro,10.409797456429581,0
