FIPS,POPESTIMATE2020,Case_Count,% Pop Cases,Total_Vaccines,% Vaccinated
13015,109426,14904,0.13620163398095517,17155,0.15677261345566867
13021,152737,16957,0.11102090521615587,36188,0.23693014790129438
13029,40755,4839,0.1187338976812661,12992,0.31878297141455036
13031,80839,8938,0.11056544489664642,20566,0.254406907556996
13033,22648,1617,0.07139703285058284,9065,0.4002560932532674
13035,25426,3133,0.12322032565090851,3382,0.13301345079839536
13039,55388,5834,0.10532967429768181,23085,0.4167870296815195
13045,121633,12410,0.10202823246980672,26898,0.22114064439749082
13047,67996,6548,0.09629978234013765,11834,0.17403964939114067
13051,289463,26910,0.09296524944466132,126244,0.43613173358943974
13055,24843,3360,0.1352493660185968,3514,0.14144829529444913
13057,265274,34515,0.13011075340968206,76640,0.28890882634558984
13059,127795,13717,0.10733596776086701,29461,0.2305332759497633
13063,292646,27274,0.0931979251382216,59185,0.2022409327310129
13067,762944,83464,0.10939728210720577,292454,0.38332302239744986
13069,43218,5579,0.12908973113054745,11833,0.27379795455597206
13071,45542,6030,0.13240525229458522,9178,0.20152825962847482
13073,160377,15234,0.09498868291587946,40524,0.2526796236368058
13077,150849,14638,0.09703743478577916,40484,0.26837433459950016
13081,22034,1895,0.08600344921484977,4086,0.185440682581465
13085,27113,2118,0.07811750820639546,3332,0.12289307712167595
13087,26457,2766,0.10454700079374078,10030,0.379105718713384
13089,762009,63121,0.08283497963934809,237931,0.31224171892982894
13091,20452,2858,0.13974183453940936,2254,0.11020927048699394
13095,86477,7164,0.0828428368236641,20370,0.23555396232524256
13097,147988,16862,0.11394167094629294,40918,0.2764953915182312
13103,65765,7063,0.10739755188930282,14179,0.2156010035733293
13107,22507,1385,0.06153641089438841,6463,0.28715510729995114
13111,26521,2592,0.09773387127182233,5334,0.20112363787187512
13113,115821,9919,0.08564077326218907,38879,0.33568178482313227
13115,98604,12874,0.1305626546590402,16986,0.1722648168431301
13117,250847,22248,0.08869151315343615,54508,0.21729580182342226
13119,23504,2241,0.09534547311095984,3283,0.1396783526208305
13121,1077402,101890,0.09457008618881346,309655,0.2874089708391111
13123,31978,3672,0.11482894489961849,4164,0.1302145224842079
13127,85568,10777,0.12594661555721764,38026,0.4443951009723261
13129,58780,8080,0.13746172167403878,8888,0.15120789384144268
13131,24491,2246,0.09170715773141154,4680,0.191090604711935
13135,942627,93962,0.09968099789206122,285099,0.30245155294724213
13137,46047,3635,0.07894108193801985,8454,0.18359502247703433
13139,206591,17519,0.08480040272809561,59494,0.2879796312520875
13143,30383,2884,0.09492150215581081,4338,0.14277721094032847
13145,36080,2474,0.06856984478935699,7118,0.1972838137472284
13147,26406,2247,0.08509429675073847,6927,0.26232674392183597
13151,239139,28063,0.11735016036698322,48647,0.20342562275496678
13153,160110,16123,0.10069951908063207,55097,0.3441196677284367
13157,76199,9126,0.11976535125132876,17637,0.23145973044265672
13169,28787,2347,0.08152985722722061,6763,0.234932434779588
13175,47512,7242,0.15242465061458157,11443,0.24084441825223102
13177,30234,3006,0.0994244889859099,5330,0.17629159224713897
13179,63004,5292,0.0839946670052695,25169,0.39948257253507713
13185,118268,14182,0.11991409341495586,30940,0.2616092265025197
13187,34186,1464,0.042824548060609605,3517,0.10287837126309016
13189,21162,2126,0.10046309422549854,3902,0.18438710896890653
13195,30457,3587,0.11777259743244574,6593,0.2164691203992514
13199,21164,1717,0.08112833112833112,5033,0.2378094878094878
13205,21602,2044,0.09462086843810759,4522,0.20933246921581336
13207,28042,3025,0.10787390343056844,3300,0.11768062192425648
13213,40032,5527,0.13806454836131096,6170,0.15412669864108713
13215,196442,16312,0.08303723236375113,62248,0.3168772462100773
13217,113295,12480,0.11015490533562823,19475,0.17189637671565383
13219,41124,3400,0.08267678241416204,10915,0.26541678825017023
13223,173359,18249,0.10526710467873027,33229,0.1916773862331924
13225,27950,2758,0.09867620751341681,3838,0.13731663685152057
13227,33127,4261,0.12862619615419446,4720,0.14248196335315605
13233,42840,6429,0.15007002801120448,6121,0.14288048552754434
13237,22520,2049,0.09098579040852575,2869,0.12739786856127885
13245,202079,22769,0.11267375630322794,67744,0.33523522978637066
13247,90939,8639,0.094997745741651,16211,0.1782623516862952
13255,67414,7497,0.11120835434776159,10509,0.15588750111252855
13257,26107,1473,0.0564216493660704,3493,0.13379553376489065
13261,29282,2591,0.08848439314254491,11128,0.38002868656512534
13267,25365,2683,0.10577567514291346,3490,0.13759116893356987
13275,44372,5223,0.11770936626701524,10580,0.23843865500766248
13277,40719,6091,0.1495861882659201,8417,0.2067093985608684
13279,26973,3810,0.1412523634745857,5476,0.2030178326474623
13285,70214,7963,0.11341043096818298,14522,0.2068248497450651
13291,25358,1399,0.055169966085653444,3275,0.12915056392459973
13293,26527,1841,0.06940098767293701,9468,0.3569193651751046
13295,70116,7567,0.10792115922186092,15974,0.22782246562838723
13297,96875,11403,0.1177083870967742,21414,0.22104774193548388
13299,35826,5653,0.1577904315301736,8235,0.22986099480823982
13303,20150,2152,0.10679900744416873,3018,0.14977667493796526
13305,30023,4240,0.14122506078673017,9041,0.3011357958898178
13311,31094,1653,0.053161381617032225,3471,0.11162925323213482
13313,103837,18027,0.17360863661315332,22985,0.2213565492069301
13321,19972,1983,0.09928900460644903,3414,0.17093931504105747
16001,494399,67233,0.13598935272927332,247959,0.5015362086088362
16005,88795,10675,0.12022073314938904,36346,0.40932484937214936
16011,47202,5477,0.11603321893140121,17699,0.37496292529977543
16013,23426,2576,0.10996328865363271,15579,0.665030308204559
16017,46817,4315,0.0921673750987889,16753,0.3578401008180789
16019,122134,16824,0.13775033979072165,49281,0.40349943504675195
16027,237053,34349,0.14490008563485804,82608,0.348479032115181
16031,24277,3312,0.13642542324010382,7336,0.30217901717675166
16039,27448,3169,0.11545467793646168,10281,0.37456280967647915
16051,30581,3367,0.11010104313135607,9689,0.31683071187992545
16053,24578,3447,0.14024737570184717,8483,0.3451460655871104
16055,170628,24157,0.1415769979135898,62674,0.36731368825749583
16057,40830,3838,0.09399951016409502,19520,0.4780798432525104
16065,40318,7860,0.19495014633662383,16912,0.4194652512525423
16067,21216,2685,0.1265554298642534,6824,0.32164404223227755
16069,40755,5188,0.1272972641393694,18479,0.4534167586799166
16075,24771,3184,0.12853740260788826,6411,0.258810706067579
16083,88411,13187,0.1491556480528441,34177,0.38656954451369174
17001,64783,12533,0.19346124754951144,29478,0.4550267817174259
17007,52777,7565,0.1433389544688027,25689,0.48674612046914373
17011,32303,4165,0.1289353929975544,15021,0.4650032504720924
17019,209192,25596,0.12235649546827794,112964,0.5400015296952082
17021,32075,4837,0.15080280592361653,12865,0.401091192517537
17027,37398,6783,0.18137333547248516,17363,0.46427616450077547
17029,50383,7265,0.14419546275529443,19345,0.383958875017367
17031,5108284,612974,0.11999606913006403,2913284,0.5703058013219312
17037,104491,11675,0.1117321108995033,46558,0.4455694748830043
17043,917481,104116,0.11348027915564464,572580,0.624078318788073
17049,34065,6019,0.17669161896374577,13090,0.3842653750183473
17051,21264,3911,0.18392588412340105,5803,0.2729025583145222
17055,38060,6739,0.17706253284287968,13970,0.3670520231213873
17057,33690,4772,0.14164440486791333,15336,0.4552092609082814
17063,50993,6965,0.1365873747377091,22563,0.44247249622497203
17073,48411,6176,0.1275743116233914,24253,0.5009811819627771
17075,26711,3906,0.1462318894837333,11455,0.4288495376436674
17077,56675,7625,0.1345390383767093,23578,0.4160211733568593
17081,37235,6011,0.16143413455082584,13417,0.36033302000805695
17083,21616,3152,0.14581791265729088,10502,0.48584381939304216
17085,21239,1998,0.09407222562267527,14327,0.6745609491972315
17089,531010,65792,0.12389973823468485,278524,0.5245174290503004
17091,108594,16727,0.1540324511483139,45355,0.4176565924452548
17093,130638,15423,0.11805906397832178,68228,0.5222676403496685
17095,49053,6603,0.1346095040058712,23203,0.4730189794711842
17097,693593,77184,0.11128139989878791,417384,0.6017707791168596
17099,107571,14433,0.1341718492902362,50214,0.46679867250467133
17103,33647,4543,0.1350194668172497,15424,0.4584063958153773
17105,35414,5569,0.15725419325690404,13625,0.384734850624047
17107,28383,4689,0.16520452383468978,12100,0.4263115245041046
17109,29295,3498,0.11940604198668715,11844,0.4043010752688172
17111,305888,33051,0.1080493513965896,163340,0.533986295637619
17113,171256,21724,0.12685103003690382,88905,0.5191350959966367
17115,103015,14339,0.13919332136096685,44718,0.4340921225064311
17117,44567,6397,0.14353669755648799,20282,0.45509008907936366
17119,262635,37943,0.14447046280960268,128974,0.4910769699392693
17121,37045,6545,0.176677014441895,13797,0.37243892563098935
17133,34739,5034,0.14490917988427993,17724,0.510204669103889
17135,28045,4617,0.16462827598502408,11528,0.41105366375468
17137,33400,4875,0.14595808383233533,15140,0.4532934131736527
17141,50306,7111,0.14135490796326483,23715,0.47141494056374983
17143,177652,25956,0.14610586990295635,92073,0.5182773061941324
17145,20664,4103,0.1985578784359272,7690,0.3721447928765002
17157,31351,5187,0.1654492679659341,12632,0.40292175688175813
17161,140907,17779,0.12617542066753248,67972,0.4823890935155812
17163,258046,34985,0.13557660262123808,129888,0.5033521155142882
17165,23182,4054,0.17487705978776638,9281,0.40035372271590025
17167,193882,24437,0.12604058138455349,107586,0.5549045295592164
17173,21299,2947,0.13836330344147613,7571,0.35546269777923845
17177,43831,5454,0.12443247929547581,22801,0.5202025963359266
17179,130777,19754,0.15105102579199706,66637,0.5095467857497878
17183,74855,13178,0.1760470242468773,25198,0.33662414000400775
17195,54656,7854,0.14369877049180327,26104,0.47760538641686184
17197,688726,87188,0.12659315896307094,370345,0.5377247265240458
17199,66415,11442,0.17228035835278174,29489,0.44401114206128134
17201,281295,38961,0.13850583906574948,132021,0.4693329067349224
17203,38091,5451,0.14310467039458138,17931,0.4707411199495944
18001,35839,4523,0.12620329808309383,10923,0.3047797092552806
18003,382187,52555,0.1375112183302938,180378,0.4719626779560791
18005,84447,10562,0.12507253069972882,44915,0.5318720617665518
18011,69347,10619,0.15312846986892006,43045,0.6207189928908244
18015,20228,3793,0.18751235910618944,6303,0.31159778524817083
18017,37388,7158,0.19145180271744944,15345,0.41042580507114584
18019,119266,16890,0.1416162192074858,64872,0.5439270202740094
18021,26246,3950,0.15049912367598872,13356,0.5088775432446849
18023,32206,4679,0.14528348754890394,13898,0.4315344966776377
18027,33505,3878,0.11574391881808685,9960,0.2972690643187584
18029,49824,7225,0.14501043673731534,26937,0.540643063583815
18031,26584,3737,0.1405732771591935,11641,0.4378949744207042
18033,43670,5554,0.1271811312113579,16954,0.38822990611403707
18035,113454,13366,0.11780986126535865,50088,0.44148289174467187
18037,42542,7544,0.1773306379577829,22205,0.5219547741055898
18039,206161,33064,0.1603795092185234,78907,0.38274455401361074
18041,22892,3678,0.16066748208981305,8173,0.35702428796085967
18043,78936,10031,0.12707763251241513,40901,0.5181539475017736
18047,22761,2453,0.10777206625367954,7595,0.33368481173937875
18051,33825,6183,0.18279379157427939,14399,0.42569105691056913
18053,65225,8854,0.13574549635875816,25129,0.385266385588348
18055,32203,4596,0.14271962239542899,11819,0.3670154954507344
18057,344238,45053,0.13087747430556765,217360,0.6314236080851039
18059,79553,11591,0.1457016077332093,47958,0.6028433874272497
18061,40682,5920,0.1455189027088147,18788,0.461825868934664
18063,173251,22548,0.13014643494121247,110707,0.6389977547027146
18065,48033,7564,0.15747506922324236,22787,0.4744030145941332
18067,82732,13488,0.16303244210220955,35453,0.42852825992360877
18069,36395,5824,0.16002198104135185,16918,0.46484407198791045
18071,44222,6168,0.1394780878295871,21134,0.47790692415539776
18073,33440,4659,0.13932416267942585,14142,0.4229066985645933
18077,32110,4619,0.14384926814076612,16492,0.5136094674556213
18079,27515,3406,0.12378702525894966,10096,0.3669271306560058
18081,160607,24191,0.15062232654865604,83516,0.5200022414963233
18083,36522,5438,0.14889655550079403,16703,0.45734078089918406
18085,78988,11014,0.13943890211171317,29489,0.3733351901554667
18087,40119,3180,0.0792641890376131,8352,0.2081806625289763
18089,487536,62273,0.1277300548062092,243764,0.4999917954776673
18091,109663,13946,0.12717142518442867,56178,0.5122785260297457
18093,45496,6938,0.15249692280640056,20322,0.4466766309126077
18095,129681,16672,0.12856162429345858,61443,0.4738010965368867
18097,966183,119377,0.12355526851538477,479618,0.4964049253609306
18099,46108,7031,0.15248980654116423,18774,0.40717445996356383
18103,35328,5160,0.14605978260869565,13355,0.378028759057971
18105,148219,12423,0.08381516539714881,80601,0.5437966792381543
18107,38365,5539,0.14437638472566142,15975,0.41639515183109604
18109,70707,8064,0.11404811404811405,34532,0.4883816312387741
18113,47832,7046,0.14730724201371467,16880,0.3529018230473323
18119,20833,2571,0.12340997455959295,8144,0.3909182546920751
18127,170980,21274,0.1244239092291496,88212,0.5159199906421804
18129,25275,3491,0.13812067260138478,11075,0.4381800197823937
18133,37469,4977,0.13282980597293761,14601,0.3896821372334463
18135,24191,2843,0.11752304576082014,10003,0.41350088876028274
18137,28448,4193,0.14739173228346455,12236,0.4301181102362205
18141,271484,11776,0.04337640523935112,144410,0.5319282167641556
18143,23788,3913,0.16449470321170337,9649,0.40562468471498236
