State,County Name,Urban Rural Code,FIPS,Total deaths,COVID-19 Deaths,Urban Rural Description,Pct_Deaths_by_Covid,Covid_Death_Pct_Above_Median
TX,Tarrant County,1,48439,33904,5440,Large central metro,16.04530438886267,1
TX,Taylor County,4,48441,3834,828,Small metro,21.5962441314554,1
TX,Titus County,5,48449,685,110,Micropolitan,16.05839416058394,1
TX,Tom Green County,4,48451,2864,527,Small metro,18.400837988826815,1
TX,Travis County,1,48453,14143,1790,Large central metro,12.656437813759458,1
TX,Val Verde County,5,48465,644,117,Micropolitan,18.16770186335404,1
TX,Victoria County,4,48469,2450,555,Small metro,22.653061224489797,1
TX,Walker County,5,48471,958,129,Micropolitan,13.465553235908143,1
TX,Webb County,3,48479,3821,1007,Medium metro,26.35435749803716,1
TX,Wichita County,4,48485,3540,614,Small metro,17.34463276836158,1
TX,Williamson County,2,48491,7211,929,Large fringe metro,12.883095271113575,1
TX,Wise County,2,48497,1334,214,Large fringe metro,16.041979010494753,1
UT,Davis County,3,49011,3538,200,Medium metro,5.652911249293386,0
UT,Salt Lake County,1,49035,15827,1461,Large central metro,9.231060845390788,0
UT,Utah County,3,49049,5717,592,Medium metro,10.355081336365227,0
UT,Washington County,4,49053,3494,380,Small metro,10.875787063537492,0
UT,Weber County,3,49057,3954,356,Medium metro,9.003540718259991,0
VA,Albemarle County,4,51003,1935,131,Small metro,6.770025839793281,0
VA,Arlington County,1,51013,2757,361,Large central metro,13.093942691331156,1
VA,Augusta County,4,51015,1899,206,Small metro,10.847814639283834,0
VA,Chesterfield County,2,51041,5065,418,Large fringe metro,8.252714708785785,0
VA,Fairfax County,2,51059,10755,1100,Large fringe metro,10.2278010227801,0
VA,Halifax County,6,51083,920,121,Noncore,13.152173913043477,1
VA,Hanover County,2,51085,2800,333,Large fringe metro,11.892857142857142,0
VA,Henrico County,2,51087,7149,804,Large fringe metro,11.246328157784305,0
VA,Loudoun County,2,51107,3388,295,Large fringe metro,8.707201889020071,0
VA,Montgomery County,4,51121,1569,161,Small metro,10.261312938177184,0
VA,Prince William County,2,51153,3478,338,Large fringe metro,9.718228867165038,0
VA,Rockingham County,4,51165,1717,236,Small metro,13.74490390215492,1
VA,Washington County,3,51191,1392,162,Medium metro,11.637931034482758,0
VA,York County,2,51199,1035,101,Large fringe metro,9.758454106280192,0
VA,Alexandria city,1,51510,1707,215,Large central metro,12.595196250732279,1
VA,Charlottesville city,4,51540,2190,204,Small metro,9.315068493150685,0
VA,Chesapeake city,2,51550,3586,294,Large fringe metro,8.198549916341328,0
VA,Danville city,5,51590,1648,207,Micropolitan,12.560679611650485,1
VA,Fredericksburg city,2,51630,1741,187,Large fringe metro,10.74095347501436,0
VA,Hampton city,2,51650,2399,220,Large fringe metro,9.17048770320967,0
VA,Hopewell city,2,51670,777,114,Large fringe metro,14.671814671814673,1
VA,Lynchburg city,3,51680,3270,519,Medium metro,15.871559633027523,1
VA,Manassas city,2,51683,962,212,Large fringe metro,22.03742203742204,1
VA,Martinsville city,5,51690,912,179,Micropolitan,19.62719298245614,1
VA,Newport News city,2,51700,4038,387,Large fringe metro,9.583952451708768,0
VA,Norfolk city,1,51710,5697,522,Large central metro,9.162717219589258,0
VA,Petersburg city,2,51730,1625,228,Large fringe metro,14.03076923076923,1
VA,Portsmouth city,2,51740,2175,223,Large fringe metro,10.252873563218392,0
VA,Richmond city,1,51760,6324,559,Large central metro,8.839342188488299,0
VA,Roanoke city,3,51770,4736,510,Medium metro,10.76858108108108,0
VA,Salem city,3,51775,1710,197,Medium metro,11.52046783625731,0
VA,Suffolk city,2,51800,1918,308,Large fringe metro,16.05839416058394,1
VA,Virginia Beach city,1,51810,6388,427,Large central metro,6.684408265497808,0
VA,Winchester city,4,51840,2256,329,Small metro,14.583333333333334,1
VT,Chittenden County,4,50007,3154,149,Small metro,4.724159797083069,0
WA,Benton County,3,53005,3686,454,Medium metro,12.316874660879002,1
WA,Chelan County,4,53007,1819,175,Small metro,9.620670698185817,0
WA,Clark County,2,53011,7760,489,Large fringe metro,6.301546391752577,0
WA,Cowlitz County,4,53015,2425,133,Small metro,5.484536082474227,0
WA,Franklin County,3,53021,641,120,Medium metro,18.720748829953198,1
WA,King County,1,53033,27922,1951,Large central metro,6.987321825084162,0
WA,Kitsap County,3,53035,3884,166,Medium metro,4.27394438722966,0
WA,Pierce County,2,53053,14377,926,Large fringe metro,6.440843013145997,0
WA,Skagit County,4,53057,2441,102,Small metro,4.178615321589513,0
WA,Snohomish County,2,53061,10354,591,Large fringe metro,5.707938960788101,0
WA,Spokane County,3,53063,10874,1033,Medium metro,9.499724112562074,0
WA,Thurston County,3,53067,4843,259,Medium metro,5.347924839975222,0
WA,Whatcom County,4,53073,3495,164,Small metro,4.69241773962804,0
WA,Yakima County,4,53077,4064,507,Small metro,12.475393700787402,1
WI,Brown County,3,55009,5234,525,Medium metro,10.030569354222392,0
WI,Dane County,3,55025,8630,629,Medium metro,7.288528389339513,0
WI,Dodge County,5,55027,1688,189,Micropolitan,11.196682464454977,0
WI,Eau Claire County,4,55035,2498,250,Small metro,10.0080064051241,0
WI,Fond du Lac County,4,55039,1994,179,Small metro,8.976930792377132,0
WI,Kenosha County,2,55059,3010,420,Large fringe metro,13.953488372093023,1
WI,La Crosse County,4,55063,2908,278,Small metro,9.559834938101789,0
WI,Marathon County,4,55073,3069,364,Small metro,11.860540892798957,0
WI,Milwaukee County,1,55079,18979,1676,Large central metro,8.830813003846357,0
WI,Outagamie County,4,55087,3319,403,Small metro,12.14221150949081,1
WI,Ozaukee County,2,55089,2105,225,Large fringe metro,10.688836104513063,0
WI,Racine County,4,55101,3282,373,Small metro,11.365021328458257,0
WI,Rock County,4,55105,3130,248,Small metro,7.92332268370607,0
WI,Sheboygan County,4,55117,2235,208,Small metro,9.306487695749441,0
WI,Walworth County,5,55127,1571,134,Micropolitan,8.52959898154042,0
WI,Washington County,2,55131,2054,148,Large fringe metro,7.205452775073027,0
WI,Waukesha County,2,55133,6970,744,Large fringe metro,10.674318507890963,0
WI,Waupaca County,6,55135,1119,131,Noncore,11.706881143878462,0
WI,Winnebago County,4,55139,3285,289,Small metro,8.797564687975648,0
WI,Wood County,5,55141,2414,230,Micropolitan,9.52775476387738,0
WV,Berkeley County,3,54003,1823,172,Medium metro,9.43499725726824,0
WV,Brooke County,4,54009,779,138,Small metro,17.715019255455715,1
WV,Cabell County,3,54011,3988,407,Medium metro,10.205616850551655,0
WV,Harrison County,5,54033,1843,179,Micropolitan,9.712425393380359,0
WV,Kanawha County,4,54039,5974,585,Small metro,9.792433880147305,0
WV,Mercer County,5,54055,1563,151,Micropolitan,9.660908509277032,0
WV,Monongalia County,4,54061,3546,514,Small metro,14.495205865764241,1
WV,Ohio County,4,54069,1997,283,Small metro,14.171256885327994,1
WV,Raleigh County,4,54081,2603,181,Small metro,6.9535151747983095,0
WV,Wood County,4,54107,2037,235,Small metro,11.536573392243495,0
WY,Laramie County,4,56021,1868,202,Small metro,10.813704496788008,0
WY,Natrona County,4,56025,1886,250,Small metro,13.255567338282079,1
