State,County Name,Urban Rural Code,FIPS,Total deaths,COVID-19 Deaths,Urban Rural Description,Pct_Deaths_by_Covid,Covid_Death_Pct_Above_Median
FL,Hernando County,2,12053,6103,821,Large fringe metro,13.452400458790759,1
FL,Highlands County,4,12055,3782,533,Small metro,14.093072448439978,1
FL,Hillsborough County,1,12057,25733,2978,Large central metro,11.572688765398516,0
FL,Indian River County,4,12061,4491,444,Small metro,9.886439545758183,0
FL,Jackson County,6,12063,1150,144,Noncore,12.521739130434783,1
FL,Lake County,2,12069,8981,1095,Large fringe metro,12.192406190847345,1
FL,Lee County,3,12071,15868,1654,Medium metro,10.4234938240484,0
FL,Leon County,3,12073,6430,963,Medium metro,14.976671850699844,1
FL,Manatee County,3,12081,9162,1076,Medium metro,11.744160663610566,0
FL,Marion County,3,12083,11193,1549,Medium metro,13.83900652193335,1
FL,Martin County,3,12085,4246,580,Medium metro,13.65991521431936,1
FL,Miami-Dade County,1,12086,47108,7994,Large central metro,16.969516854886642,1
FL,Okaloosa County,4,12091,4150,524,Small metro,12.626506024096384,1
FL,Okeechobee County,5,12093,876,106,Micropolitan,12.100456621004566,1
FL,Orange County,1,12095,21474,2616,Large central metro,12.182173791561889,1
FL,Osceola County,2,12097,5738,918,Large fringe metro,15.998605785988149,1
FL,Palm Beach County,2,12099,32326,4162,Large fringe metro,12.875085070840807,1
FL,Pasco County,2,12101,13098,1399,Large fringe metro,10.6810200030539,0
FL,Pinellas County,1,12103,25745,2460,Large central metro,9.555253447271316,0
FL,Polk County,3,12105,15313,2108,Medium metro,13.766081107555673,1
FL,Putnam County,5,12107,1846,240,Micropolitan,13.001083423618635,1
FL,St. Johns County,2,12109,3465,231,Large fringe metro,6.666666666666667,0
FL,St. Lucie County,3,12111,7018,718,Medium metro,10.230834995725278,0
FL,Santa Rosa County,3,12113,2381,254,Medium metro,10.667786644267114,0
FL,Sarasota County,3,12115,12439,1401,Medium metro,11.262963260712276,0
FL,Seminole County,2,12117,6952,656,Large fringe metro,9.4361334867664,0
FL,Sumter County,4,12119,4646,444,Small metro,9.556607834696514,0
FL,Volusia County,3,12127,15520,1527,Medium metro,9.838917525773196,0
FL,Walton County,4,12131,1340,152,Small metro,11.343283582089553,0
GA,Baldwin County,5,13009,957,157,Micropolitan,16.405433646812956,1
GA,Bartow County,2,13015,2087,234,Large fringe metro,11.212266411116435,0
GA,Bibb County,4,13021,5865,918,Small metro,15.65217391304348,1
GA,Bulloch County,5,13031,1389,220,Micropolitan,15.83873290136789,1
GA,Carroll County,2,13045,2757,450,Large fringe metro,16.32208922742111,1
GA,Chatham County,3,13051,7445,981,Medium metro,13.176628609805238,1
GA,Cherokee County,2,13057,2910,296,Large fringe metro,10.171821305841924,0
GA,Clarke County,4,13059,3421,550,Small metro,16.077170418006432,1
GA,Clayton County,2,13063,2713,250,Large fringe metro,9.214891264283082,0
GA,Cobb County,2,13067,11174,1281,Large fringe metro,11.464113119742258,0
GA,Coffee County,5,13069,858,187,Micropolitan,21.794871794871796,1
GA,Colquitt County,5,13071,1073,167,Micropolitan,15.563839701770737,1
GA,Coweta County,2,13077,2287,321,Large fringe metro,14.035854831657193,1
GA,Crisp County,5,13081,672,121,Micropolitan,18.00595238095238,1
GA,DeKalb County,2,13089,10050,902,Large fringe metro,8.975124378109452,0
GA,Dodge County,6,13091,454,111,Noncore,24.44933920704846,1
GA,Dougherty County,4,13095,2866,542,Small metro,18.911374738311235,1
GA,Douglas County,2,13097,1524,162,Large fringe metro,10.62992125984252,0
GA,Fayette County,2,13113,2215,373,Large fringe metro,16.83972911963883,1
GA,Floyd County,4,13115,3597,639,Small metro,17.764804003336113,1
GA,Forsyth County,2,13117,3245,351,Large fringe metro,10.816640986132512,0
GA,Fulton County,1,13121,18440,2128,Large central metro,11.540130151843817,0
GA,Glynn County,4,13127,2369,394,Small metro,16.631490080202617,1
GA,Gordon County,5,13129,1126,192,Micropolitan,17.05150976909414,1
GA,Gwinnett County,2,13135,8656,1021,Large fringe metro,11.7952865064695,0
GA,Hall County,4,13139,5848,1127,Small metro,19.27154582763338,1
GA,Henry County,2,13151,3922,508,Large fringe metro,12.952575216726158,1
GA,Houston County,4,13153,2743,358,Small metro,13.051403572730589,1
GA,Laurens County,5,13175,1659,278,Micropolitan,16.75708257986739,1
GA,Lowndes County,4,13185,2478,442,Small metro,17.836965294592414,1
GA,Muscogee County,3,13215,5852,926,Medium metro,15.823650034176351,1
GA,Newton County,2,13217,1555,215,Large fringe metro,13.826366559485532,1
GA,Paulding County,2,13223,1535,191,Large fringe metro,12.44299674267101,1
GA,Pickens County,2,13227,809,134,Large fringe metro,16.563658838071692,1
GA,Richmond County,3,13245,7979,1460,Medium metro,18.298032334879057,1
GA,Rockdale County,2,13247,1670,226,Large fringe metro,13.532934131736527,1
GA,Spalding County,2,13255,2389,343,Large fringe metro,14.357471745500208,1
GA,Sumter County,5,13261,727,113,Micropolitan,15.543328748280604,1
GA,Thomas County,5,13275,1486,254,Micropolitan,17.092866756393,1
GA,Tift County,5,13277,1316,303,Micropolitan,23.024316109422493,1
GA,Toombs County,5,13279,1064,204,Micropolitan,19.172932330827066,1
GA,Troup County,5,13285,1751,326,Micropolitan,18.617932609937178,1
GA,Union County,6,13291,668,102,Noncore,15.269461077844312,1
GA,Upson County,5,13293,1125,241,Micropolitan,21.422222222222224,1
GA,Walton County,2,13297,1813,258,Large fringe metro,14.230557087699944,1
GA,Ware County,5,13299,1272,260,Micropolitan,20.440251572327046,1
GA,Wayne County,5,13305,757,151,Micropolitan,19.947159841479525,1
GA,Whitfield County,4,13313,1922,320,Small metro,16.64932362122789,1
HI,Hawaii County,5,15001,3263,117,Micropolitan,3.5856573705179287,0
HI,Honolulu County,3,15003,15208,655,Medium metro,4.306943713834824,0
IA,Black Hawk County,4,19013,2856,418,Small metro,14.635854341736696,1
IA,Cerro Gordo County,5,19033,1424,190,Micropolitan,13.342696629213483,1
IA,Clinton County,5,19045,885,105,Micropolitan,11.864406779661017,0
IA,Des Moines County,5,19057,989,109,Micropolitan,11.02123356926188,0
IA,Dubuque County,4,19061,1889,264,Small metro,13.975648491265218,1
IA,Johnson County,4,19103,3698,401,Small metro,10.843699296917253,0
IA,Linn County,3,19113,3977,464,Medium metro,11.66708574302238,0
IA,Polk County,3,19153,9682,1138,Medium metro,11.753769882255732,0
IA,Pottawattamie County,3,19155,1869,214,Medium metro,11.449973247726057,0
IA,Scott County,3,19163,3561,319,Medium metro,8.958157820836844,0
IA,Webster County,5,19187,1032,138,Micropolitan,13.372093023255813,1
IA,Woodbury County,4,19193,2512,407,Small metro,16.202229299363058,1
ID,Ada County,3,16001,8079,1026,Medium metro,12.699591533605645,1
ID,Bannock County,4,16005,1620,187,Small metro,11.54320987654321,0
ID,Bonneville County,4,16019,2394,313,Small metro,13.074352548036758,1
ID,Canyon County,3,16027,3087,403,Medium metro,13.054745707806934,1
ID,Kootenai County,4,16055,3568,407,Small metro,11.40695067264574,0
ID,Twin Falls County,5,16083,1903,298,Micropolitan,15.659485023646875,1
IL,Adams County,5,17001,1957,273,Micropolitan,13.949923352069494,1
IL,Champaign County,4,17019,3706,394,Small metro,10.631408526713438,0
IL,Coles County,5,17029,1133,140,Micropolitan,12.35657546337158,1
IL,Cook County,1,17031,87249,11250,Large central metro,12.894130591754632,1
IL,DeKalb County,2,17037,1489,138,Large fringe metro,9.267965077233043,0
IL,DuPage County,2,17043,13723,1310,Large fringe metro,9.546017634627997,0
IL,Jackson County,4,17077,1218,187,Small metro,15.353037766830871,1
IL,Jefferson County,5,17081,1137,181,Micropolitan,15.919085312225153,1
IL,Kane County,2,17089,6933,835,Large fringe metro,12.04384826193567,0
IL,Kankakee County,4,17091,2431,244,Small metro,10.037021801727684,0
IL,Knox County,5,17095,1256,175,Micropolitan,13.93312101910828,1
IL,Lake County,2,17097,10291,939,Large fringe metro,9.124477698960257,0
IL,La Salle County,5,17099,2011,219,Micropolitan,10.890104425658876,0
IL,McHenry County,2,17111,3244,241,Large fringe metro,7.429099876695437,0
IL,McLean County,4,17113,2620,311,Small metro,11.870229007633588,0
IL,Macon County,4,17115,2505,278,Small metro,11.097804391217565,0
IL,Madison County,2,17119,5196,524,Large fringe metro,10.0846805234796,0
IL,Marion County,5,17121,937,101,Micropolitan,10.779082177161152,0
IL,Morgan County,5,17137,732,106,Micropolitan,14.48087431693989,1
IL,Peoria County,3,17143,5984,811,Medium metro,13.552807486631016,1
IL,Rock Island County,3,17161,3010,339,Medium metro,11.262458471760798,0
IL,St. Clair County,2,17163,4921,574,Large fringe metro,11.66429587482219,0
IL,Sangamon County,4,17167,5167,517,Small metro,10.00580607702729,0
IL,Stephenson County,5,17177,1069,108,Micropolitan,10.102899906454631,0
IL,Tazewell County,3,17179,1973,145,Medium metro,7.349214394323365,0
IL,Vermilion County,4,17183,1585,131,Small metro,8.264984227129338,0
IL,Whiteside County,5,17195,1281,195,Micropolitan,15.22248243559719,1
IL,Will County,2,17197,8945,918,Large fringe metro,10.262716601453326,0
IL,Williamson County,4,17199,1755,205,Small metro,11.68091168091168,0
IL,Winnebago County,3,17201,6609,667,Medium metro,10.092298380995611,0
IN,Allen County,3,18003,9270,1231,Medium metro,13.279395900755125,1
IN,Bartholomew County,4,18005,1746,234,Small metro,13.402061855670103,1
IN,Boone County,2,18011,932,111,Large fringe metro,11.909871244635193,0
IN,Clark County,2,18019,2085,209,Large fringe metro,10.023980815347722,0
IN,Dearborn County,2,18029,820,102,Large fringe metro,12.439024390243903,1
IN,Delaware County,4,18035,3026,337,Small metro,11.136814276272307,0
IN,Dubois County,5,18037,987,122,Micropolitan,12.360688956433636,1
IN,Elkhart County,4,18039,3663,530,Small metro,14.469014469014468,1
IN,Floyd County,2,18043,2200,313,Large fringe metro,14.227272727272727,1
IN,Grant County,5,18053,1497,166,Micropolitan,11.088844355377422,0
IN,Hamilton County,2,18057,3954,446,Large fringe metro,11.2797167425392,0
IN,Hancock County,2,18059,1237,138,Large fringe metro,11.156022635408245,0
IN,Hendricks County,2,18063,2995,439,Large fringe metro,14.657762938230384,1
IN,Howard County,4,18067,2234,303,Small metro,13.563115487914054,1
IN,Johnson County,2,18081,2283,234,Large fringe metro,10.249671484888305,0
IN,Knox County,5,18083,1046,169,Micropolitan,16.156787762906312,1
IN,Lake County,2,18089,11958,1437,Large fringe metro,12.017059708981435,0
IN,LaPorte County,4,18091,2348,239,Small metro,10.178875638841568,0
IN,Madison County,2,18095,2862,369,Large fringe metro,12.89308176100629,1
IN,Marion County,1,18097,21978,2762,Large central metro,12.567112567112568,1
IN,Marshall County,5,18099,808,104,Micropolitan,12.871287128712872,1
IN,Monroe County,4,18105,2632,319,Small metro,12.120060790273557,1
IN,Porter County,2,18127,3179,293,Large fringe metro,9.216734822271153,0
IN,St. Joseph County,3,18141,5949,604,Medium metro,10.152966885190787,0
IN,Shelby County,2,18145,800,106,Large fringe metro,13.25,1
IN,Tippecanoe County,4,18157,3094,400,Small metro,12.928248222365871,1
IN,Vanderburgh County,3,18163,5506,725,Medium metro,13.167453686887033,1
IN,Vigo County,4,18167,2977,398,Small metro,13.369163587504199,1
IN,Warrick County,3,18173,2094,362,Medium metro,17.28748806112703,1
IN,Wayne County,5,18177,2190,331,Micropolitan,15.114155251141554,1
KS,Crawford County,5,20037,924,121,Micropolitan,13.095238095238097,1
KS,Ellis County,5,20051,717,144,Micropolitan,20.0836820083682,1
KS,Finney County,5,20055,550,109,Micropolitan,19.818181818181817,1
KS,Johnson County,2,20091,8697,974,Large fringe metro,11.19926411406232,0
KS,Reno County,5,20155,1484,184,Micropolitan,12.398921832884097,1
KS,Saline County,5,20169,1381,210,Micropolitan,15.206372194062274,1
KS,Sedgwick County,3,20173,11547,1279,Medium metro,11.076470078808349,0
KS,Shawnee County,4,20177,4575,595,Small metro,13.005464480874318,1
KS,Wyandotte County,2,20209,4062,589,Large fringe metro,14.500246184145741,1
KY,Barren County,5,21009,1186,196,Micropolitan,16.526138279932546,1
KY,Boone County,2,21015,1553,143,Large fringe metro,9.207984546039922,0
KY,Boyd County,3,21019,2331,306,Medium metro,13.127413127413126,1
KY,Boyle County,5,21021,1127,243,Micropolitan,21.56166814551908,1
KY,Campbell County,2,21037,1549,260,Large fringe metro,16.785022595222724,1
KY,Christian County,3,21047,1064,116,Medium metro,10.902255639097744,0
KY,Daviess County,4,21059,2669,395,Small metro,14.79955039340577,1
KY,Fayette County,3,21067,9723,921,Medium metro,9.47238506633755,0
KY,Franklin County,5,21073,1152,125,Micropolitan,10.850694444444445,0
KY,Graves County,5,21083,826,114,Micropolitan,13.801452784503631,1
KY,Hardin County,4,21093,2304,299,Small metro,12.977430555555555,1
KY,Hopkins County,5,21107,1361,218,Micropolitan,16.017634092578987,1
KY,Jefferson County,1,21111,21146,2366,Large central metro,11.188877329045683,0
KY,Kenton County,2,21117,3536,246,Large fringe metro,6.957013574660634,0
KY,Laurel County,5,21125,1310,142,Micropolitan,10.839694656488549,0
KY,McCracken County,5,21145,2796,433,Micropolitan,15.486409155937054,1
KY,Madison County,5,21151,1629,140,Micropolitan,8.594229588704728,0
KY,Perry County,6,21193,1713,167,Noncore,9.748978400467017,0
KY,Pike County,6,21195,2508,350,Noncore,13.955342902711324,1
KY,Pulaski County,5,21199,1856,212,Micropolitan,11.422413793103448,0
KY,Warren County,4,21227,3288,508,Small metro,15.450121654501217,1
KY,Whitley County,5,21235,1074,171,Micropolitan,15.921787709497206,1
LA,Acadia Parish,3,22001,1201,127,Medium metro,10.574521232306411,0
LA,Bossier Parish,3,22015,2026,249,Medium metro,12.290227048371175,1
LA,Caddo Parish,3,22017,8116,1434,Medium metro,17.66880236569739,1
LA,Calcasieu Parish,4,22019,4231,580,Small metro,13.708343181281021,1
LA,East Baton Rouge Parish,3,22033,11821,1900,Medium metro,16.073090263091107,1
LA,Iberia Parish,3,22045,1425,131,Medium metro,9.192982456140351,0
LA,Jefferson Parish,2,22051,10780,1539,Large fringe metro,14.276437847866418,1
LA,Lafayette Parish,3,22055,5573,726,Medium metro,13.027094921945093,1
LA,Lafourche Parish,4,22057,1855,271,Small metro,14.609164420485174,1
LA,Lincoln Parish,5,22061,928,103,Micropolitan,11.099137931034484,0
LA,Natchitoches Parish,5,22069,741,101,Micropolitan,13.630229419703104,1
LA,Orleans Parish,1,22071,7872,721,Large central metro,9.159044715447154,0
LA,Ouachita Parish,4,22073,4190,830,Small metro,19.809069212410503,1
LA,Rapides Parish,4,22079,4278,671,Small metro,15.684899485741,1
LA,St. Landry Parish,5,22097,1929,257,Micropolitan,13.32296526697771,1
LA,St. Mary Parish,5,22101,952,135,Micropolitan,14.180672268907562,1
LA,St. Tammany Parish,2,22103,5470,736,Large fringe metro,13.455210237659966,1
LA,Tangipahoa Parish,4,22105,2713,421,Small metro,15.51787688905271,1
LA,Terrebonne Parish,4,22109,2099,229,Small metro,10.909957122439257,0
MA,Barnstable County,4,25001,5365,353,Small metro,6.57968313140727,0
MA,Berkshire County,4,25003,2953,251,Small metro,8.499830680663733,0
MA,Bristol County,2,25005,9895,1276,Large fringe metro,12.895401718039414,1
MA,Essex County,2,25009,13510,1724,Large fringe metro,12.760917838638045,1
MA,Hampden County,3,25013,10355,1321,Medium metro,12.75712216320618,1
MA,Hampshire County,3,25015,2191,200,Medium metro,9.128251939753538,0
MA,Middlesex County,2,25017,21547,2977,Large fringe metro,13.816308534830835,1
MA,Norfolk County,2,25021,9979,1104,Large fringe metro,11.063232788856599,0
MA,Plymouth County,2,25023,8718,1002,Large fringe metro,11.493461803165864,0
MA,Suffolk County,1,25025,16506,2206,Large central metro,13.364837028959167,1
MA,Worcester County,3,25027,14463,1851,Medium metro,12.798174652561709,1
MD,Allegany County,4,24001,2072,301,Small metro,14.527027027027026,1
MD,Anne Arundel County,2,24003,8894,853,Large fringe metro,9.590735327186868,0
MD,Baltimore County,2,24005,16110,1681,Large fringe metro,10.434512725015518,0
MD,Carroll County,2,24013,3228,310,Large fringe metro,9.603469640644361,0
MD,Cecil County,2,24015,1880,187,Large fringe metro,9.946808510638299,0
MD,Charles County,2,24017,2003,193,Large fringe metro,9.63554667998003,0
MD,Frederick County,2,24021,3643,347,Large fringe metro,9.525116662091683,0
MD,Harford County,2,24025,4067,307,Large fringe metro,7.548561593312024,0
MD,Howard County,2,24027,3342,225,Large fringe metro,6.732495511669659,0
MD,Montgomery County,2,24031,14532,2232,Large fringe metro,15.359207266721716,1
MD,Prince George's County,2,24033,11023,1456,Large fringe metro,13.2087453506305,1
MD,St. Mary's County,4,24037,1608,166,Small metro,10.323383084577115,0
MD,Washington County,3,24043,3518,417,Medium metro,11.853325753268903,0
MD,Wicomico County,3,24045,2870,353,Medium metro,12.29965156794425,1
MD,Worcester County,3,24047,1260,119,Medium metro,9.444444444444445,0
MD,Baltimore city,1,24510,17532,1811,Large central metro,10.329682865617157,0
ME,Androscoggin County,4,23001,2701,132,Small metro,4.8870788596815995,0
ME,Cumberland County,3,23005,7195,343,Medium metro,4.767199444058374,0
ME,Penobscot County,4,23019,4036,236,Small metro,5.847373637264618,0
ME,York County,3,23031,2804,150,Medium metro,5.349500713266762,0
MI,Bay County,4,26017,2924,369,Small metro,12.619699042407662,1
MI,Berrien County,4,26021,3201,310,Small metro,9.684473601999375,0
MI,Calhoun County,4,26025,3042,244,Small metro,8.021038790269559,0
MI,Emmet County,6,26047,1137,106,Noncore,9.32277924362357,0
MI,Genesee County,3,26049,9635,963,Medium metro,9.994810586403737,0
MI,Grand Traverse County,5,26055,2768,227,Micropolitan,8.20086705202312,0
MI,Gratiot County,5,26057,896,114,Micropolitan,12.723214285714285,1
MI,Ingham County,3,26065,6142,621,Medium metro,10.110713122761315,0
MI,Jackson County,4,26075,3630,360,Small metro,9.917355371900827,0
MI,Kalamazoo County,3,26077,5977,647,Medium metro,10.824828509285595,0
MI,Kent County,1,26081,12000,1154,Large central metro,9.616666666666667,0
MI,Lapeer County,2,26087,1659,188,Large fringe metro,11.33212778782399,0
MI,Lenawee County,5,26091,1721,123,Micropolitan,7.147007553747821,0
MI,Livingston County,2,26093,2408,102,Large fringe metro,4.235880398671096,0
MI,Macomb County,2,26099,15168,1646,Large fringe metro,10.851793248945148,0
MI,Marquette County,5,26103,1547,122,Micropolitan,7.88623141564318,0
MI,Midland County,4,26111,1918,151,Small metro,7.872784150156413,0
MI,Monroe County,4,26115,2321,148,Small metro,6.376561826798794,0
MI,Muskegon County,4,26121,3734,408,Small metro,10.926620246384575,0
MI,Oakland County,2,26125,25425,3272,Large fringe metro,12.869223205506392,1
MI,Ottawa County,2,26139,3685,323,Large fringe metro,8.765264586160109,0
MI,Saginaw County,4,26145,5365,810,Small metro,15.097856477166822,1
MI,St. Clair County,2,26147,3458,423,Large fringe metro,12.232504337767496,1
MI,Washtenaw County,3,26161,7346,693,Medium metro,9.433705417914512,0
MI,Wayne County,1,26163,37621,4606,Large central metro,12.243162063740996,1
MN,Anoka County,2,27003,4322,552,Large fringe metro,12.771864877371586,1
MN,Dakota County,2,27037,4172,315,Large fringe metro,7.550335570469799,0
MN,Hennepin County,1,27053,20994,2393,Large central metro,11.398494808040391,0
MN,Olmsted County,4,27109,3923,277,Small metro,7.060922763191435,0
MN,Ramsey County,1,27123,10492,1347,Large central metro,12.83835303088067,1
MN,St. Louis County,3,27137,5339,475,Medium metro,8.896797153024911,0
MN,Stearns County,4,27145,3312,421,Small metro,12.711352657004833,1
MN,Washington County,2,27163,2875,240,Large fringe metro,8.347826086956523,0
MN,Wright County,2,27171,1312,103,Large fringe metro,7.850609756097561,0
MO,Boone County,4,29019,4408,535,Small metro,12.137023593466424,1
MO,Buchanan County,4,29021,2301,302,Small metro,13.124728378965667,1
MO,Butler County,5,29023,1387,160,Micropolitan,11.535688536409516,0
MO,Camden County,6,29029,1282,190,Noncore,14.82059282371295,1
MO,Cape Girardeau County,4,29031,2815,344,Small metro,12.2202486678508,1
MO,Clay County,2,29047,4774,662,Large fringe metro,13.866778382907416,1
MO,Cole County,4,29051,1945,377,Small metro,19.383033419023135,1
MO,Franklin County,2,29071,1862,209,Large fringe metro,11.224489795918368,0
MO,Greene County,3,29077,9256,1513,Medium metro,16.346153846153847,1
MO,Howell County,5,29091,1178,153,Micropolitan,12.98811544991511,1
MO,Jackson County,1,29095,15842,1635,Large central metro,10.32066658250221,0
MO,Jasper County,4,29097,1643,105,Small metro,6.3907486305538646,0
MO,Jefferson County,2,29099,3118,269,Large fringe metro,8.627325208466965,0
MO,Marion County,5,29127,777,120,Micropolitan,15.444015444015443,1
MO,Newton County,4,29145,3246,623,Small metro,19.192852741836106,1
MO,Pettis County,5,29159,895,115,Micropolitan,12.849162011173185,1
MO,Phelps County,5,29161,1168,187,Micropolitan,16.01027397260274,1
MO,Platte County,2,29165,1232,117,Large fringe metro,9.496753246753247,0
MO,Polk County,3,29167,753,115,Medium metro,15.272244355909695,1
MO,St. Charles County,2,29183,5999,688,Large fringe metro,11.468578096349392,0
MO,St. Francois County,5,29187,1466,108,Micropolitan,7.3669849931787175,0
MO,St. Louis County,2,29189,25184,3067,Large fringe metro,12.178367217280814,1
MO,Scott County,5,29201,930,116,Micropolitan,12.473118279569892,1
MO,Taney County,5,29213,1234,102,Micropolitan,8.26580226904376,0
MO,St. Louis city,1,29510,9339,850,Large central metro,9.101616875468466,0
MS,Adams County,5,28001,772,133,Micropolitan,17.2279792746114,1
MS,Alcorn County,5,28003,1190,184,Micropolitan,15.46218487394958,1
MS,DeSoto County,2,28033,3458,634,Large fringe metro,18.334297281665705,1
MS,Forrest County,4,28035,3162,624,Small metro,19.734345351043643,1
MS,Harrison County,3,28047,5078,628,Medium metro,12.367073651043718,1
MS,Hinds County,3,28049,9324,1580,Medium metro,16.945516945516946,1
MS,Jackson County,3,28059,3103,425,Medium metro,13.69642281662907,1
MS,Jones County,5,28067,1537,226,Micropolitan,14.703968770331816,1
MS,Lafayette County,5,28071,1592,362,Micropolitan,22.738693467336685,1
MS,Lamar County,4,28073,1157,208,Small metro,17.97752808988764,1
MS,Lauderdale County,5,28075,2877,647,Micropolitan,22.488703510601322,1
MS,Lee County,5,28081,4179,713,Micropolitan,17.06149796602058,1
MS,Leflore County,5,28083,976,202,Micropolitan,20.69672131147541,1
MS,Lincoln County,5,28085,840,137,Micropolitan,16.30952380952381,1
MS,Lowndes County,5,28087,1620,331,Micropolitan,20.432098765432098,1
MS,Madison County,3,28089,1918,177,Medium metro,9.228362877997915,0
MS,Monroe County,6,28095,753,127,Noncore,16.865869853917662,1
MS,Oktibbeha County,5,28105,666,124,Micropolitan,18.61861861861862,1
MS,Pearl River County,5,28109,1135,105,Micropolitan,9.251101321585903,0
MS,Pike County,5,28113,1074,156,Micropolitan,14.52513966480447,1
MS,Rankin County,3,28121,2091,233,Medium metro,11.142993782879005,0
MS,Warren County,5,28149,1224,227,Micropolitan,18.545751633986928,1
MS,Washington County,5,28151,1391,211,Micropolitan,15.168943206326386,1
MT,Cascade County,4,30013,2253,279,Small metro,12.383488681757656,1
MT,Flathead County,5,30029,2275,216,Micropolitan,9.494505494505495,0
MT,Lewis and Clark County,5,30049,1280,119,Micropolitan,9.296875,0
MT,Missoula County,4,30063,2128,206,Small metro,9.680451127819548,0
MT,Yellowstone County,4,30111,4316,677,Small metro,15.685820203892492,1
NC,Alamance County,4,37001,2944,203,Small metro,6.895380434782608,0
NC,Beaufort County,5,37013,876,110,Micropolitan,12.557077625570775,1
NC,Brunswick County,3,37019,2226,133,Medium metro,5.9748427672955975,0
NC,Buncombe County,3,37021,6679,696,Medium metro,10.420721664919897,0
NC,Burke County,3,37023,1749,242,Medium metro,13.836477987421384,1
NC,Cabarrus County,2,37025,3596,495,Large fringe metro,13.765294771968856,1
NC,Caldwell County,3,37027,1566,182,Medium metro,11.621966794380588,0
NC,Catawba County,3,37035,3621,536,Medium metro,14.802540734603701,1
NC,Cleveland County,5,37045,2070,333,Micropolitan,16.08695652173913,1
NC,Columbus County,6,37047,1154,106,Noncore,9.185441941074524,0
NC,Craven County,4,37049,2123,221,Small metro,10.409797456429581,0
NC,Cumberland County,3,37051,5294,576,Medium metro,10.880241783150737,0
NC,Davidson County,3,37057,2711,232,Medium metro,8.557727775728512,0
NC,Durham County,3,37063,6106,534,Medium metro,8.745496233213233,0
NC,Edgecombe County,4,37065,985,125,Small metro,12.690355329949238,1
NC,Forsyth County,3,37067,9760,1095,Medium metro,11.219262295081968,0
NC,Gaston County,2,37071,4467,605,Large fringe metro,13.54376539064249,1
NC,Guilford County,3,37081,10493,1227,Medium metro,11.6935099590203,0
NC,Halifax County,5,37083,974,117,Micropolitan,12.012320328542096,0
NC,Harnett County,5,37085,1619,188,Micropolitan,11.612106238418777,0
NC,Haywood County,3,37087,1176,116,Medium metro,9.863945578231291,0
NC,Henderson County,3,37089,2620,257,Medium metro,9.80916030534351,0
NC,Iredell County,2,37097,2889,358,Large fringe metro,12.391831083419868,1
NC,Johnston County,2,37101,2528,211,Large fringe metro,8.346518987341772,0
NC,Lenoir County,5,37107,1135,162,Micropolitan,14.273127753303966,1
NC,Lincoln County,2,37109,1094,133,Large fringe metro,12.157221206581353,1
NC,Mecklenburg County,1,37119,14496,1849,Large central metro,12.755242825607063,1
NC,Moore County,5,37125,2693,450,Micropolitan,16.709988860007428,1
NC,Nash County,4,37127,1798,231,Small metro,12.847608453837598,1
NC,New Hanover County,3,37129,5486,497,Medium metro,9.059423988333942,0
NC,Onslow County,4,37133,1767,183,Small metro,10.35653650254669,0
NC,Orange County,3,37135,2661,350,Medium metro,13.152950018789927,1
NC,Pasquotank County,5,37139,981,151,Micropolitan,15.392456676860347,1
NC,Pitt County,4,37147,4397,498,Small metro,11.325904025471912,0
NC,Randolph County,3,37151,2317,174,Medium metro,7.509710832973673,0
NC,Richmond County,5,37153,893,107,Micropolitan,11.98208286674132,0
NC,Robeson County,5,37155,2378,270,Micropolitan,11.35407905803196,0
NC,Rockingham County,3,37157,1978,142,Medium metro,7.17896865520728,0
NC,Rowan County,2,37159,2861,383,Large fringe metro,13.386927647675636,1
NC,Rutherford County,5,37161,1468,195,Micropolitan,13.283378746594005,1
NC,Scotland County,5,37165,1018,194,Micropolitan,19.05697445972495,1
NC,Surry County,5,37171,1868,252,Micropolitan,13.49036402569593,1
NC,Union County,2,37179,2640,320,Large fringe metro,12.121212121212121,1
NC,Vance County,5,37181,920,124,Micropolitan,13.478260869565217,1
NC,Wake County,1,37183,12418,1299,Large central metro,10.460621678209051,0
NC,Wayne County,4,37191,2848,337,Small metro,11.832865168539326,0
NC,Wilkes County,5,37193,1226,141,Micropolitan,11.500815660685156,0
NC,Wilson County,5,37195,1567,201,Micropolitan,12.827058072750477,1
ND,Burleigh County,4,38015,2317,338,Small metro,14.587829089339662,1
ND,Cass County,4,38017,4171,623,Small metro,14.936466075281707,1
ND,Grand Forks County,4,38035,1270,144,Small metro,11.338582677165354,0
ND,Ward County,5,38101,1405,250,Micropolitan,17.793594306049823,1
NE,Buffalo County,5,31019,1023,145,Micropolitan,14.173998044965789,1
NE,Douglas County,3,31055,10551,1194,Medium metro,11.31646289451237,0
NE,Hall County,4,31079,1116,151,Small metro,13.530465949820789,1
NE,Lancaster County,3,31109,5525,538,Medium metro,9.737556561085974,0
NE,Lincoln County,5,31111,858,110,Micropolitan,12.82051282051282,1
NE,Scotts Bluff County,5,31157,887,131,Micropolitan,14.768883878241262,1
NH,Belknap County,5,33001,1226,116,Micropolitan,9.461663947797716,0
NH,Hillsborough County,3,33011,6882,688,Medium metro,9.99709386806161,0
NH,Merrimack County,5,33013,2923,136,Micropolitan,4.652754019842628,0
NH,Rockingham County,2,33015,4325,243,Large fringe metro,5.618497109826589,0
