Urban Rural Code,Population Estimate 2020,Total Vaccines,Percent Vaccinated,Case Count,Percent of Population Cases,Total deaths,Covid Death Percent Above Median
3.0,336364.0,186409.0,55.41883197964111,40275.0,11.97363570417761,5294.0,0.0
5.0,50328.0,20085.0,39.90820219360992,4708.0,9.35463360356064,1096.0,0.0
5.0,99606.0,55940.0,56.16127542517519,8340.0,8.37298957894102,1892.0,0.0
3.0,140907.0,67972.0,48.23890935155812,17779.0,12.61754206675324,3010.0,0.0
3.0,103990.0,51311.0,49.34224444658141,9407.0,9.04606212135782,2870.0,1.0
3.0,289463.0,126244.0,43.61317335894397,26910.0,9.29652494446613,7445.0,1.0
3.0,552536.0,401744.0,72.70910854677342,49750.0,9.00393820493144,8630.0,0.0
5.0,30367.0,16622.0,54.73705008726578,3131.0,10.31053446175124,1127.0,1.0
1.0,3166857.0,1985524.0,62.69698947568519,306694.0,9.68449159529464,44802.0,1.0
4.0,133593.0,61950.0,46.37219015966405,16890.0,12.642877995104527,3200.0,0.0
5.0,85083.0,42208.0,49.60802980618925,8943.0,10.51091287331194,1993.0,0.0
5.0,38708.0,17897.0,46.23592022320967,5899.0,15.23974372222796,989.0,0.0
3.0,287095.0,160035.0,55.74287256831363,40100.0,13.96750204636096,4133.0,0.0
6.0,50664.0,24700.0,48.75256592452234,5736.0,11.3216485078162,1119.0,0.0
2.0,289105.0,116572.0,40.32168243371785,42835.0,14.816416180972311,4245.0,0.0
3.0,550081.0,270208.0,49.12149301648302,78996.0,14.36079413759064,11023.0,1.0
5.0,112112.0,68214.0,60.84451263022692,19224.0,17.14713857571,2056.0,0.0
5.0,68043.0,28222.0,41.47671325485355,9430.0,13.858883353173727,1226.0,0.0
3.0,118445.0,59942.0,50.60745493689054,13462.0,11.3656127316476,2620.0,0.0
5.0,96990.0,38443.0,39.63604495308794,15786.0,16.275904732446637,2413.0,1.0
3.0,67472.0,33878.0,50.21045767133033,10842.0,16.06888783495375,1246.0,0.0
2.0,104491.0,46558.0,44.55694748830043,11675.0,11.17321108995033,1489.0,0.0
5.0,36098.0,14114.0,39.09911906476813,4124.0,11.42445564851238,958.0,1.0
1.0,655342.0,332702.0,50.76769076299093,102455.0,15.6338217297228,20480.0,1.0
4.0,80815.0,30451.0,37.679886159747575,11269.0,13.94419352842912,1886.0,1.0
5.0,28671.0,12683.0,44.23633636775836,4143.0,14.45014125771685,717.0,1.0
5.0,35826.0,8235.0,22.98609948082398,5653.0,15.77904315301736,1272.0,1.0
2.0,221770.0,95609.0,43.11178247734138,17824.0,8.03715561166974,4848.0,1.0
4.0,91546.0,60732.0,66.34041902431565,12199.0,13.32554125794682,2171.0,0.0
3.0,93328.0,47266.0,50.6450368592491,13020.0,13.95079718841076,1869.0,0.0
2.0,67414.0,10509.0,15.58875011125285,7497.0,11.120835434776149,2389.0,1.0
5.0,97808.0,47316.0,48.37641092753149,10295.0,10.52572386716833,1721.0,0.0
5.0,42542.0,22205.0,52.19547741055898,7544.0,17.73306379577829,987.0,1.0
3.0,421017.0,231839.0,55.06642249600372,52456.0,12.4593543728638,7711.0,1.0
5.0,69571.0,28773.0,41.35774963706142,11663.0,16.76416897845366,1629.0,0.0
3.0,126919.0,54438.0,42.89192319510869,13276.0,10.46021478265665,2223.0,1.0
6.0,43136.0,13956.0,32.35348664688427,6680.0,15.485905044510382,923.0,1.0
2.0,159709.0,79366.0,49.69413120112204,19397.0,12.145214108159209,2671.0,0.0
2.0,99590.0,54502.0,54.72637815041671,17898.0,17.97168390400642,2557.0,1.0
5.0,152622.0,95011.0,62.25249308749722,8603.0,5.63680203378281,2923.0,0.0
2.0,253463.0,117498.0,46.35706197748784,1003.0,0.39571850723774,4774.0,1.0
3.0,237053.0,82608.0,34.8479032115181,34349.0,14.490008563485802,3087.0,1.0
3.0,303654.0,203094.0,66.88336066707504,29031.0,9.56055247090438,7785.0,0.0
