county_fips_code,0
1001.0,9287
1003.0,32575
1005.0,2897
1007.0,3853
1009.0,9928
1015.0,17644
1017.0,4934
1019.0,2497
1021.0,5744
1025.0,4181
1031.0,7616
1033.0,7669
1039.0,5727
1043.0,12931
1045.0,7571
1047.0,4124
1049.0,10994
1051.0,12307
1053.0,5803
1055.0,17097
1059.0,5193
1061.0,4064
1069.0,14825
1071.0,8354
1073.0,102455
1077.0,12103
1079.0,3667
1081.0,20491
1083.0,12784
1089.0,41789
1093.0,4074
1095.0,15786
1097.0,66209
1099.0,2850
1101.0,30168
1103.0,17449
1109.0,4007
1111.0,2668
1113.0,5303
1115.0,13848
1117.0,32512
1121.0,10738
1123.0,5938
1125.0,30579
1127.0,9541
1133.0,3658
2020.0,40100
2090.0,10049
2110.0,2328
2122.0,7186
2170.0,14871
4001.0,14563
4003.0,13707
4005.0,20579
4007.0,8627
4009.0,6673
4013.0,670789
4015.0,29859
4017.0,19224
4019.0,131559
4021.0,66146
4023.0,8594
4025.0,24888
4027.0,40162
5005.0,3436
5007.0,27985
5009.0,3988
5015.0,3189
5019.0,2386
5023.0,2202
5027.0,1704
5029.0,2284
5031.0,15817
5033.0,7635
5035.0,7462
5045.0,13276
5051.0,12260
5055.0,6706
5057.0,1856
5059.0,5742
5063.0,3197
5069.0,7873
5071.0,3202
5083.0,2022
5085.0,7074
5091.0,3458
5093.0,6200
5103.0,2730
5111.0,3643
5115.0,8445
5119.0,47000
5123.0,3775
5125.0,12450
5131.0,15113
5139.0,3714
5143.0,30324
5145.0,7278
5149.0,3450
6001.0,115548
6005.0,4856
6007.0,20944
6009.0,3247
6011.0,2872
6013.0,94962
6015.0,3243
6017.0,15809
6019.0,134404
6021.0,3916
6023.0,8111
6025.0,34058
6029.0,131983
6031.0,29804
6033.0,5932
6035.0,6289
6037.0,1429615
6039.0,21528
6041.0,16940
6045.0,6706
6047.0,38800
6053.0,49288
6055.0,12155
6057.0,8340
6059.0,306694
6061.0,36092
6065.0,356093
6067.0,148040
6069.0,6958
6071.0,345933
6073.0,348284
6075.0,51471
6077.0,96252
6079.0,27939
6081.0,51906
6083.0,42579
6085.0,139789
6087.0,19999
6089.0,20342
6093.0,3800
6095.0,43852
6097.0,39151
6099.0,78996
6101.0,12891
6103.0,7995
6107.0,72199
6109.0,6055
6111.0,97126
6113.0,19001
6115.0,9058
8001.0,67792
8005.0,74203
8013.0,26666
8014.0,5765
8015.0,1908
8029.0,3263
8031.0,82687
8035.0,35286
8037.0,7327
8039.0,2151
8041.0,83725
8043.0,7001
8045.0,6946
8059.0,55289
8067.0,4893
8069.0,30788
8075.0,4186
8077.0,20207
8083.0,2458
8085.0,4339
8087.0,2916
8101.0,21327
8107.0,2867
8117.0,4327
8119.0,2208
8123.0,38981
9001.0,102843
9003.0,86922
9005.0,15030
9007.0,13241
9009.0,94353
9011.0,23377
9013.0,9447
9015.0,10990
10001.0,18886
10003.0,70195
10005.0,28356
12001.0,23996
12003.0,3344
12005.0,13737
12007.0,3490
12009.0,27861
12011.0,243909
12015.0,10270
12017.0,10571
12019.0,17824
12021.0,28396
12023.0,8046
12027.0,4284
12031.0,91010
12033.0,30258
12035.0,5982
12039.0,5007
12049.0,3220
12051.0,4001
12053.0,15843
12055.0,7416
12057.0,117307
12061.0,11396
12063.0,5956
12069.0,25808
12071.0,57142
12073.0,22907
12075.0,3232
12081.0,32341
12083.0,32115
12085.0,12809
12086.0,491834
12087.0,6078
12089.0,6809
12091.0,15346
12093.0,3881
12095.0,106768
12097.0,35112
12099.0,137405
12101.0,38196
12103.0,67016
12105.0,47375
12107.0,6954
12109.0,19034
12111.0,28682
12113.0,13946
12115.0,25436
12117.0,30620
12119.0,8591
12121.0,4790
12123.0,2354
12127.0,34174
12129.0,2336
12131.0,5079
12133.0,2550
13009.0,4151
13013.0,8945
13015.0,14904
13021.0,16957
13029.0,4839
13031.0,8938
13033.0,1617
13035.0,3133
13039.0,5834
13045.0,12410
13047.0,6548
13051.0,26910
13055.0,3360
13057.0,34515
13059.0,13717
13063.0,27274
13067.0,83464
13069.0,5579
13071.0,6030
13073.0,15234
13077.0,14638
13081.0,1895
13085.0,2118
13087.0,2766
13089.0,63121
13091.0,2858
13095.0,7164
13097.0,16862
13103.0,7063
13107.0,1385
13111.0,2592
13113.0,9919
13115.0,12874
13117.0,22248
13119.0,2241
13121.0,101890
13123.0,3672
13127.0,10777
13129.0,8080
13131.0,2246
13135.0,93962
13137.0,3635
13139.0,17519
13143.0,2884
13145.0,2474
13147.0,2247
13151.0,28063
13153.0,16123
13157.0,9126
13169.0,2347
